timestamp,open,high,low,close,volume
1767225600000,4323.698,4351.005,4323.198,4347.805,0.863
1767312000000,4347.798,4401.928,4309.618,4331.575,44.2076
1767484800000,4360.875,4375.665,4344.425,4372.345,2.5305
1767571200000,4372.275,4459.815,4370.025,4440.285,59.6616
1767657600000,4440.285,4500.348,4427.725,4493.235,70.4107
1767744000000,4493.185,4495.595,4423.135,4463.205,56.9631
1767830400000,4463.145,4483.548,4407.485,4475.485,56.3438
1767916800000,4475.445,4516.898,4452.585,4509.015,56.5838
1768089600000,4520.298,4544.735,4511.898,4539.855,1.9448
1768176000000,4539.775,4629.975,4536.055,4599.095,57.3697
1768262400000,4599.205,4634.285,4569.185,4596.805,57.0872
1768348800000,4596.795,4642.695,4596.745,4615.015,52.7668
1768435200000,4614.935,4624.325,4580.815,4609.855,59.0485
1768521600000,4609.835,4620.035,4536.515,4595.515,49.4936
1768694400000,4625.755,4690.265,4618.988,4672.365,2.8176
1768780800000,4672.375,4681.735,4652.845,4665.135,30.6441
1768867200000,4665.145,4780.895,4659.245,4775.625,52.1181
1768953600000,4775.605,4888.075,4755.345,4777.915,55.7844
1769040000000,4777.875,4960.435,4772.185,4958.795,40.7459
1769126400000,4958.785,4989.675,4899.545,4983.785,38.1997
1769299200000,5003.285,5039.695,5001.098,5039.395,2.3352
1769385600000,5039.525,5110.885,4989.805,5043.195,65.6828
1769472000000,5043.225,5190.235,5013.595,5171.895,59.9634
1769558400000,5171.975,5596.805,5157.115,5512.255,77.4251
1769644800000,5512.795,5595.275,5098.765,5437.995,87.8864
1769731200000,5437.995,5450.745,4679.725,4895.118,119.6253
1769904000000,4817.598,4820.748,4694.575,4741.745,1.7657
1769990400000,4741.725,4884.248,4401.038,4773.935,132.1647
1770076800000,4773.975,4993.458,4744.808,4946.875,85.2151
1770163200000,4946.895,5091.395,4844.165,5011.895,67.1066
1770249600000,5011.705,5020.175,4702.915,4703.275,85.2318
1770336000000,4703.265,4970.898,4654.355,4964.298,58.4225
1770508800000,4980.098,5046.805,4962.605,5035.475,2.1799
1770595200000,5035.475,5086.265,4967.835,5031.245,45.8034
1770681600000,5031.095,5078.485,4998.685,5041.575,42.9627
1770768000000,5041.535,5118.815,5017.995,5060.785,42.4584
1770854400000,5060.625,5083.475,4877.255,4919.775,46.5436
1770940800000,4919.875,5045.965,4913.505,5040.285,39.958
1771113600000,5035.898,5051.678,5006.628,5019.898,1.8144
1771200000000,5019.655,5030.945,4964.868,4989.435,18.2225
