timestamp,open,high,low,close
1767308400000,4323.698,4332.848,4323.698,4328.198
1767308460000,4328.198,4331.998,4328.098,4328.898
1767308520000,4328.898,4330.298,4327.898,4329.998
1767308580000,4329.998,4329.998,4325.445,4325.598
1767308640000,4325.598,4326.798,4323.198,4326.798
1767308700000,4326.898,4330.345,4326.835,4329.498
1767308760000,4329.645,4330.098,4329.298,4329.905
1767308820000,4329.925,4330.195,4329.355,4329.355
1767308880000,4329.315,4329.798,4329.198,4329.798
1767308940000,4329.808,4332.798,4329.798,4332.678
1767309000000,4332.698,4332.985,4330.815,4332.565
1767309060000,4332.595,4334.285,4332.415,4334.285
1767309120000,4334.325,4335.055,4328.775,4329.625
1767309180000,4329.655,4331.355,4329.465,4330.945
1767309240000,4331.015,4331.015,4330.335,4330.625
1767309300000,4330.555,4330.625,4327.865,4330.595
1767309360000,4330.635,4332.035,4330.545,4331.765
1767309420000,4332.655,4333.705,4331.868,4332.525
1767309480000,4332.605,4333.125,4331.605,4333.125
1767309540000,4333.145,4334.075,4332.655,4333.955
1767309600000,4333.985,4334.045,4333.155,4333.535
1767309660000,4334.155,4334.735,4332.425,4334.695
1767309720000,4334.735,4337.365,4334.735,4337.085
1767309780000,4337.185,4339.715,4337.125,4339.115
1767309840000,4339.115,4340.315,4338.485,4339.565
1767309900000,4339.585,4342.045,4337.675,4340.365
1767309960000,4340.265,4342.505,4340.145,4341.795
1767310020000,4341.655,4342.405,4341.005,4341.145
1767310080000,4341.055,4341.395,4340.058,4341.145
1767310140000,4341.095,4341.645,4336.835,4339.515
1767310200000,4339.605,4340.725,4339.235,4339.485
1767310260000,4339.505,4340.218,4339.145,4340.158
1767310320000,4340.218,4340.318,4338.015,4339.555
1767310380000,4339.575,4340.118,4339.575,4339.748
1767310440000,4339.748,4339.808,4339.515,4339.568
1767310500000,4340.185,4343.875,4339.568,4343.825
1767310560000,4343.915,4343.915,4338.685,4340.898
1767310620000,4340.698,4341.698,4339.828,4340.605
1767310680000,4340.485,4341.515,4339.185,4340.965
1767310740000,4340.975,4341.195,4339.315,4340.145
1767310800000,4340.135,4340.165,4338.445,4339.205
1767310860000,4339.195,4340.845,4339.075,4339.715
1767310920000,4339.655,4341.955,4339.098,4341.495
1767310980000,4341.445,4342.525,4340.965,4342.445
1767311040000,4342.045,4345.505,4341.965,4344.965
1767311100000,4345.025,4345.065,4342.398,4343.205
1767311160000,4343.205,4343.525,4341.825,4343.195
1767311220000,4343.105,4343.395,4341.655,4343.005
1767311280000,4343.025,4345.495,4343.005,4343.805
1767311340000,4343.745,4343.785,4342.295,4342.485
1767311400000,4342.505,4343.645,4341.845,4343.595
1767311460000,4343.615,4343.885,4341.855,4343.025
1767311520000,4343.015,4344.005,4341.655,4343.835
