,Date,Open,High,Low,Close,Volume,G,U,V,AG,AL,RSI
3,2026-01-07,77.13500213623047,80.9000015258789,75.875,80.9000015258789,2093,4.970001220703125,4.970001220703125,-0.0,,,
9,2026-01-15,91.8759994506836,92.41999816894533,86.12999725341797,90.8249969482422,390,1.474998474121108,1.474998474121108,-0.0,,,
12,2026-01-21,92.20999908447266,94.52999877929688,91.58999633789062,93.88500213623048,231,1.5650024414062642,1.5650024414062642,-0.0,,,
15,2026-01-26,115.08000183105467,117.19499969482422,103.22000122070312,105.04499816894533,537,6.7750015258789205,6.7750015258789205,-0.0,2.616785321916857,0.4117856706891771,86.4033013690446
18,2026-01-29,114.03700256347656,121.3000030517578,107.97000122070312,116.88999938964844,1261,2.315002441406236,2.315002441406236,-0.0,3.028570992606031,0.1485710144043009,95.3237527917707
23,2026-02-05,76.52899932861328,88.44000244140625,71.08000183105469,88.44000244140625,422,1.3300018310546875,1.3300018310546875,-0.0,2.604285648890907,2.7746423993791893,48.41644330469275
26,2026-02-10,80.21800231933594,81.67500305175781,79.83999633789062,81.67500305175781,112,1.1700057983398438,1.1700057983398438,-0.0,3.163214547293528,4.035357339041576,43.94225128595563
28,2026-02-12,75.5459976196289,82.69499969482422,75.5459976196289,82.68499755859375,78,1.6899948120117188,1.6899948120117188,-0.0,2.895714351109097,4.008928571428572,41.938654664633006
34,2026-02-23,86.52300262451172,87.91500091552734,86.49500274658203,86.49500274658203,41,6.035003662109375,6.035003662109375,-0.0,2.332857404436384,1.9403572082519531,54.592563582215035
36,2026-02-25,90.93900299072266,90.93900299072266,90.93900299072266,90.93900299072266,36156,4.6490020751953125,4.6490020751953125,-0.0,2.1660003662109375,1.8925001961844308,53.36947310739171
39,2026-03-02,88.28399658203125,95.86000061035156,86.22000122070312,95.86000061035156,1338,7.794998168945312,7.794998168945312,-0.0,1.9063573564801897,0.8095714024135044,70.19172908116798
42,2026-03-05,81.68699645996094,84.1500015258789,80.95500183105469,84.09500122070312,597,1.0100021362304688,1.0100021362304688,-0.0,1.774214608328683,1.6735000610351562,51.46059864217405
46,2026-03-11,85.06500244140625,88.68000030517578,84.5250015258789,88.54499816894531,1455,1.4249954223632812,1.4249954223632812,-0.0,2.0756427219935825,1.2467144557407923,62.47500226357456
50,2026-03-17,79.52999877929688,82.23999786376953,78.58000183105469,80.43000030517578,248,1.4300003051757812,1.4300003051757812,-0.0,1.1632140023367743,1.9138570513044084,37.80263705514084
56,2026-03-25,72.36100006103516,73.16999816894531,71.2249984741211,71.38999938964844,211,2.3000030517578125,2.3000030517578125,-0.0,1.0092855181012834,1.916785648890904,34.492856137151435
61,2026-04-01,75.86699676513672,75.86699676513672,73.9000015258789,74.34500122070312,81,1.7900009155273438,1.7900009155273438,-0.0,1.0625,1.9353572300502233,35.44198133752353
65,2026-04-08,75.2239990234375,77.44999694824219,75.2239990234375,76.16999816894531,34,4.275001525878906,4.275001525878906,-0.0,1.2689285278320312,1.2925000871930803,49.539874755384936
67,2026-04-10,76.3239974975586,76.6500015258789,75.30500030517578,75.30500030517578,175,1.5250015258789062,1.5250015258789062,-0.0,1.3778572082519531,1.1360713413783483,54.80892479838303
70,2026-04-15,79.49099731445312,80.3499984741211,79.30000305175781,80.25,473,3.43499755859375,3.43499755859375,-0.0,1.434999738420759,0.8021425519670758,64.14432128820849
72,2026-04-17,81.73799896240234,82.83000183105469,81.73799896240234,82.37999725341797,38,3.204994201660156,3.204994201660156,-0.0,1.6639278956821986,0.6046425955636161,73.34697784808226
77,2026-04-24,76.38300323486328,76.38300323486328,76.38300323486328,76.38300323486328,31,0.0780029296875,0.0780029296875,-0.0,1.1841425214494978,0.8603564671107701,57.9184694184353
83,2026-05-04,73.0719985961914,75.4000015258789,72.5,75.4000015258789,591,0.9800033569335938,0.9800033569335938,-0.0,0.7666424342564174,0.8677139282226562,46.907911386812586
91,2026-05-14,84.91200256347656,87.07499694824219,84.9000015258789,87.07499694824219,91,0.1449966430664062,0.1449966430664062,-0.0,1.3157141549246651,0.5520003182547433,70.4451442561735
94,2026-05-19,74.8280029296875,78.46499633789062,73.79000091552734,78.46499633789062,50,3.1199951171875,3.1199951171875,-0.0,1.5385709490094863,1.1471426827566964,57.28723013546642
98,2026-05-26,76.30500030517578,77.50499725341797,76.09500122070312,77.50499725341797,110,1.4850006103515625,1.4850006103515625,-0.0,1.4335708618164062,1.0882137843540736,56.84747363314277
101,2026-05-29,75.61599731445312,75.61599731445312,75.11499786376953,75.5199966430664,23,1.8699951171875,1.8699951171875,-0.0,0.985355922154018,1.363570622035435,41.94920120390721
103,2026-06-02,75.31099700927734,76.0250015258789,75.31099700927734,75.6500015258789,58,1.2750015258789062,1.2750015258789062,-0.0,0.6707131522042411,1.4453560965401786,31.696181616088992
108,2026-06-09,65.09400177001953,68.81500244140625,65.0,68.2249984741211,81,0.7750015258789062,0.7750015258789062,-0.0,0.4617854527064732,1.193213871547154,27.902455665033557
112,2026-06-15,70.06600189208984,70.06600189208984,70.06600189208984,70.06600189208984,0,3.0210037231445312,3.0210037231445312,-0.0,0.7261428833007812,1.2574996948242188,36.60653846153846
114,2026-06-17,70.69599914550781,70.94999694824219,68.76000213623047,70.30999755859375,22,0.4109954833984375,0.4109954833984375,-0.0,0.7554997035435268,0.9940714154924664,43.18199445129182
120,2026-06-26,59.21699905395508,59.21699905395508,59.189998626708984,59.189998626708984,25322,0.8050003051757812,0.8050003051757812,-0.0,0.5883571079799107,1.5444284166608535,27.58632319951677
