timestamp,open,high,low,close
1786147200000,4340.395,4340.395,4340.395,4340.395
1786233600000,4342.785,4351.885,4331.995,4332.465
1786320000000,4332.385,4402.617,4312.935,4402.055
1786406400000,4402.185,4434.965,4356.325,4371.165
1786492800000,4371.255,4441.245,4366.065,4414.105
1786579200000,4413.995,4449.455,4343.365,4356.035
1786665600000,4355.855,4396.765,4310.375,4374.205
1786752000000,4374.205,4374.205,4374.205,4374.205
1786838400000,4375.815,4385.395,4366.865,4370.125
1786924800000,4370.255,4428.675,4367.575,4425.605
1787011200000,4425.495,4435.905,4326.735,4332.785
1787097600000,4332.925,4527.475,4323.925,4511.055
1787184000000,4510.895,4540.795,4450.365,4526.195
1787270400000,4526.065,4631.935,4508.545,4602.055
1787356800000,4602.055,4602.055,4602.055,4602.055
1787443200000,4617.275,4624.335,4603.275,4623.755
1787529600000,4623.615,4682.795,4594.005,4679.545
1787616000000,4679.875,4696.635,4604.815,4654.625
1787702400000,4654.585,4670.585,4582.785,4623.205
1787788800000,4623.075,4642.535,4564.225,4594.135
1787875200000,4594.255,4630.835,4445.205,4450.065
