timestamp,open,high,low,close
1767225600000,4328.198,4328.198,4328.198,4328.198
1767225900000,4328.198,4328.198,4328.198,4328.198
1767226200000,4328.198,4328.198,4328.198,4328.198
1767226500000,4328.198,4328.198,4328.198,4328.198
1767226800000,4328.198,4328.198,4328.198,4328.198
1767227100000,4328.198,4328.198,4328.198,4328.198
1767227400000,4328.198,4328.198,4328.198,4328.198
1767227700000,4328.198,4328.198,4328.198,4328.198
1767228000000,4328.198,4328.198,4328.198,4328.198
1767228300000,4328.198,4328.198,4328.198,4328.198
1767228600000,4328.198,4328.198,4328.198,4328.198
1767228900000,4328.198,4328.198,4328.198,4328.198
1767229200000,4328.198,4328.198,4328.198,4328.198
1767229500000,4328.198,4328.198,4328.198,4328.198
1767229800000,4328.198,4328.198,4328.198,4328.198
1767230100000,4328.198,4328.198,4328.198,4328.198
1767230400000,4328.198,4328.198,4328.198,4328.198
1767230700000,4328.198,4328.198,4328.198,4328.198
1767231000000,4328.198,4328.198,4328.198,4328.198
1767231300000,4328.198,4328.198,4328.198,4328.198
1767231600000,4328.198,4328.198,4328.198,4328.198
1767231900000,4328.198,4328.198,4328.198,4328.198
1767232200000,4328.198,4328.198,4328.198,4328.198
1767232500000,4328.198,4328.198,4328.198,4328.198
1767232800000,4328.198,4328.198,4328.198,4328.198
1767233100000,4328.198,4328.198,4328.198,4328.198
1767233400000,4328.198,4328.198,4328.198,4328.198
1767233700000,4328.198,4328.198,4328.198,4328.198
1767234000000,4328.198,4328.198,4328.198,4328.198
1767234300000,4328.198,4328.198,4328.198,4328.198
1767234600000,4328.198,4328.198,4328.198,4328.198
1767234900000,4328.198,4328.198,4328.198,4328.198
1767235200000,4328.198,4328.198,4328.198,4328.198
1767235500000,4328.198,4328.198,4328.198,4328.198
1767235800000,4328.198,4328.198,4328.198,4328.198
1767236100000,4328.198,4328.198,4328.198,4328.198
1767236400000,4328.198,4328.198,4328.198,4328.198
1767236700000,4328.198,4328.198,4328.198,4328.198
1767237000000,4328.198,4328.198,4328.198,4328.198
1767237300000,4328.198,4328.198,4328.198,4328.198
1767237600000,4328.198,4328.198,4328.198,4328.198
1767237900000,4328.198,4328.198,4328.198,4328.198
1767238200000,4328.198,4328.198,4328.198,4328.198
1767238500000,4328.198,4328.198,4328.198,4328.198
1767238800000,4328.198,4328.198,4328.198,4328.198
1767239100000,4328.198,4328.198,4328.198,4328.198
1767239400000,4328.198,4328.198,4328.198,4328.198
1767239700000,4328.198,4328.198,4328.198,4328.198
1767240000000,4328.198,4328.198,4328.198,4328.198
1767240300000,4328.198,4328.198,4328.198,4328.198
1767240600000,4328.198,4328.198,4328.198,4328.198
1767240900000,4328.198,4328.198,4328.198,4328.198
1767241200000,4328.198,4328.198,4328.198,4328.198
1767241500000,4328.198,4328.198,4328.198,4328.198
1767241800000,4328.198,4328.198,4328.198,4328.198
1767242100000,4328.198,4328.198,4328.198,4328.198
1767242400000,4328.198,4328.198,4328.198,4328.198
1767242700000,4328.198,4328.198,4328.198,4328.198
1767243000000,4328.198,4328.198,4328.198,4328.198
1767243300000,4328.198,4328.198,4328.198,4328.198
1767243600000,4328.198,4328.198,4328.198,4328.198
1767243900000,4328.198,4328.198,4328.198,4328.198
1767244200000,4328.198,4328.198,4328.198,4328.198
1767244500000,4328.198,4328.198,4328.198,4328.198
1767244800000,4328.198,4328.198,4328.198,4328.198
1767245100000,4328.198,4328.198,4328.198,4328.198
1767245400000,4328.198,4328.198,4328.198,4328.198
1767245700000,4328.198,4328.198,4328.198,4328.198
1767246000000,4328.198,4328.198,4328.198,4328.198
1767246300000,4328.198,4328.198,4328.198,4328.198
1767246600000,4328.198,4328.198,4328.198,4328.198
1767246900000,4328.198,4328.198,4328.198,4328.198
1767247200000,4328.198,4328.198,4328.198,4328.198
1767247500000,4328.198,4328.198,4328.198,4328.198
1767247800000,4328.198,4328.198,4328.198,4328.198
1767248100000,4328.198,4328.198,4328.198,4328.198
1767248400000,4328.198,4328.198,4328.198,4328.198
1767248700000,4328.198,4328.198,4328.198,4328.198
1767249000000,4328.198,4328.198,4328.198,4328.198
1767249300000,4328.198,4328.198,4328.198,4328.198
1767249600000,4328.198,4328.198,4328.198,4328.198
1767249900000,4328.198,4328.198,4328.198,4328.198
1767250200000,4328.198,4328.198,4328.198,4328.198
1767250500000,4328.198,4328.198,4328.198,4328.198
1767250800000,4328.198,4328.198,4328.198,4328.198
1767251100000,4328.198,4328.198,4328.198,4328.198
1767251400000,4328.198,4328.198,4328.198,4328.198
1767251700000,4328.198,4328.198,4328.198,4328.198
1767252000000,4328.198,4328.198,4328.198,4328.198
1767252300000,4328.198,4328.198,4328.198,4328.198
1767252600000,4328.198,4328.198,4328.198,4328.198
1767252900000,4328.198,4328.198,4328.198,4328.198
1767253200000,4328.198,4328.198,4328.198,4328.198
1767253500000,4328.198,4328.198,4328.198,4328.198
1767253800000,4328.198,4328.198,4328.198,4328.198
1767254100000,4328.198,4328.198,4328.198,4328.198
1767254400000,4328.198,4328.198,4328.198,4328.198
1767254700000,4328.198,4328.198,4328.198,4328.198
1767255000000,4328.198,4328.198,4328.198,4328.198
1767255300000,4328.198,4328.198,4328.198,4328.198
1767255600000,4328.198,4328.198,4328.198,4328.198
1767255900000,4328.198,4328.198,4328.198,4328.198
1767256200000,4328.198,4328.198,4328.198,4328.198
1767256500000,4328.198,4328.198,4328.198,4328.198
1767256800000,4328.198,4328.198,4328.198,4328.198
1767257100000,4328.198,4328.198,4328.198,4328.198
1767257400000,4328.198,4328.198,4328.198,4328.198
