time,open,high,low,close,tick_volume
2026-08-10 01:00:00,4348.04,4350.3,4347.52,4348.1,38
2026-08-10 01:01:00,4348.3,4350.55,4344.38,4344.38,165
2026-08-10 01:02:00,4344.75,4345.75,4336.02,4336.77,201
2026-08-10 01:03:00,4336.67,4339.74,4332.96,4338.69,183
2026-08-10 01:04:00,4338.77,4341.62,4337.47,4340.19,170
2026-08-10 01:05:00,4340.34,4340.34,4337.26,4338.25,170
2026-08-10 01:06:00,4338.22,4338.23,4334.32,4336.52,176
2026-08-10 01:07:00,4336.71,4338.9,4336.09,4338.43,180
2026-08-10 01:08:00,4338.57,4338.57,4335.38,4337.02,166
2026-08-10 01:09:00,4336.96,4340.09,4336.74,4339.42,135
2026-08-10 01:10:00,4339.41,4340.33,4338.51,4340.19,135
2026-08-10 01:11:00,4340.19,4344.9,4339.73,4344.23,154
2026-08-10 01:12:00,4344.76,4346.1,4343.52,4345.04,161
2026-08-10 01:13:00,4345.05,4346.29,4343.91,4344.25,172
2026-08-10 01:14:00,4344.4,4344.71,4342.72,4343.5,167
2026-08-10 01:15:00,4343.57,4343.71,4342.14,4343.42,140
2026-08-10 01:16:00,4343.47,4344.84,4342.89,4344.82,129
2026-08-10 01:17:00,4344.59,4344.95,4343.27,4343.5,130
2026-08-10 01:18:00,4343.54,4343.79,4341.45,4341.66,128
2026-08-10 01:19:00,4341.75,4342.21,4339.47,4339.9,124
2026-08-10 01:20:00,4340.12,4340.62,4339.69,4340.04,133
2026-08-10 01:21:00,4340.05,4340.55,4339.73,4339.75,116
2026-08-10 01:22:00,4340.07,4340.77,4338.08,4339.63,132
2026-08-10 01:23:00,4339.53,4340.0,4339.23,4339.5,110
2026-08-10 01:24:00,4339.53,4339.74,4338.49,4339.09,98
2026-08-10 01:25:00,4339.11,4342.72,4339.11,4341.69,143
2026-08-10 01:26:00,4341.69,4343.89,4341.28,4343.89,135
2026-08-10 01:27:00,4343.91,4344.05,4342.77,4343.12,116
2026-08-10 01:28:00,4343.58,4343.87,4342.47,4342.57,127
2026-08-10 01:29:00,4342.84,4344.03,4342.26,4343.55,100
2026-08-10 01:30:00,4343.57,4344.92,4343.38,4344.63,130
2026-08-10 01:31:00,4344.63,4345.38,4343.02,4343.31,141
2026-08-10 01:32:00,4343.31,4344.1,4343.06,4343.22,99
2026-08-10 01:33:00,4343.29,4344.32,4342.05,4343.24,118
2026-08-10 01:34:00,4343.34,4343.95,4340.86,4342.37,119
2026-08-10 01:35:00,4342.36,4343.1,4340.98,4341.4,100
2026-08-10 01:36:00,4341.82,4341.97,4340.87,4341.55,99
2026-08-10 01:37:00,4341.23,4341.58,4340.1,4340.38,85
2026-08-10 01:38:00,4340.38,4341.71,4340.14,4340.93,93
2026-08-10 01:39:00,4341.04,4341.9,4341.01,4341.47,73
2026-08-10 01:40:00,4341.47,4342.57,4341.23,4341.93,105
2026-08-10 01:41:00,4341.94,4342.56,4341.72,4342.11,93
2026-08-10 01:42:00,4341.89,4342.49,4341.6,4341.87,88
2026-08-10 01:43:00,4341.57,4341.94,4340.67,4341.35,84
2026-08-10 01:44:00,4341.28,4341.44,4340.16,4340.58,116
2026-08-10 01:45:00,4340.48,4340.86,4340.18,4340.64,106
2026-08-10 01:46:00,4340.37,4341.09,4340.0,4340.85,83
2026-08-10 01:47:00,4340.84,4341.81,4340.65,4341.78,107
2026-08-10 01:48:00,4341.78,4343.83,4341.02,4342.95,120
2026-08-10 01:49:00,4343.04,4344.25,4343.01,4343.73,103
2026-08-10 01:50:00,4343.7,4343.88,4342.88,4343.67,90
2026-08-10 01:51:00,4343.64,4343.98,4343.39,4343.58,83
2026-08-10 01:52:00,4343.34,4343.38,4341.94,4342.72,95
2026-08-10 01:53:00,4342.48,4342.93,4342.0,4342.0,103
2026-08-10 01:54:00,4341.97,4342.74,4341.95,4342.74,82
2026-08-10 01:55:00,4342.75,4342.75,4341.95,4342.21,49
2026-08-10 01:56:00,4342.2,4342.41,4341.27,4341.28,78
2026-08-10 01:57:00,4341.56,4342.56,4341.27,4342.11,80
2026-08-10 01:58:00,4342.02,4342.55,4341.76,4342.55,91
2026-08-10 01:59:00,4342.52,4342.84,4341.36,4341.47,102
2026-08-10 02:00:00,4341.58,4342.75,4341.31,4342.61,100
2026-08-10 02:01:00,4342.88,4343.44,4341.94,4343.42,115
2026-08-10 02:02:00,4343.49,4344.71,4343.36,4344.62,135
2026-08-10 02:03:00,4344.66,4345.48,4344.22,4345.48,79
2026-08-10 02:04:00,4345.67,4347.65,4345.27,4347.14,164
2026-08-10 02:05:00,4346.86,4346.86,4344.94,4345.44,132
2026-08-10 02:06:00,4345.63,4347.62,4345.08,4347.25,120
2026-08-10 02:07:00,4347.07,4347.07,4346.31,4346.86,119
2026-08-10 02:08:00,4346.88,4347.17,4346.16,4346.47,117
2026-08-10 02:09:00,4346.49,4346.81,4345.91,4346.31,89
2026-08-10 02:10:00,4346.31,4346.53,4345.98,4346.21,73
2026-08-10 02:11:00,4346.25,4346.66,4345.82,4345.85,62
2026-08-10 02:12:00,4346.0,4346.43,4345.53,4346.19,53
2026-08-10 02:13:00,4346.28,4347.06,4345.86,4346.83,84
2026-08-10 02:14:00,4346.78,4347.53,4346.4,4346.47,102
2026-08-10 02:15:00,4346.46,4347.22,4346.43,4346.75,100
2026-08-10 02:16:00,4346.52,4347.07,4346.36,4346.95,62
2026-08-10 02:17:00,4346.9,4347.12,4346.24,4346.33,59
2026-08-10 02:18:00,4346.33,4346.34,4344.15,4344.21,108
2026-08-10 02:19:00,4344.21,4346.6,4344.21,4346.03,89
2026-08-10 02:20:00,4345.56,4345.76,4345.3,4345.47,78
2026-08-10 02:21:00,4345.49,4346.69,4345.49,4346.48,70
2026-08-10 02:22:00,4346.47,4347.28,4346.45,4347.2,108
2026-08-10 02:23:00,4347.22,4348.81,4347.07,4348.34,109
2026-08-10 02:24:00,4348.34,4349.03,4347.6,4348.07,120
2026-08-10 02:25:00,4348.07,4348.46,4347.5,4347.86,91
2026-08-10 02:26:00,4347.61,4348.87,4347.28,4348.62,72
2026-08-10 02:27:00,4348.57,4349.01,4348.54,4348.94,90
2026-08-10 02:28:00,4348.95,4349.08,4346.24,4346.75,73
2026-08-10 02:29:00,4346.75,4347.84,4346.06,4346.57,110
2026-08-10 02:30:00,4346.55,4347.43,4346.32,4346.64,116
2026-08-10 02:31:00,4346.54,4346.64,4344.34,4344.34,115
2026-08-10 02:32:00,4344.34,4344.53,4341.63,4343.34,143
2026-08-10 02:33:00,4343.34,4343.46,4341.23,4341.64,121
2026-08-10 02:34:00,4341.5,4341.92,4340.16,4341.56,134
2026-08-10 02:35:00,4341.63,4342.83,4341.43,4341.77,112
2026-08-10 02:36:00,4341.51,4342.25,4341.32,4342.2,72
2026-08-10 02:37:00,4341.89,4342.97,4341.22,4341.54,126
2026-08-10 02:38:00,4341.49,4341.58,4340.03,4340.5,102
2026-08-10 02:39:00,4340.35,4342.87,4340.26,4342.87,110
2026-08-10 02:40:00,4342.71,4343.05,4342.02,4342.21,94
2026-08-10 02:41:00,4342.16,4342.35,4341.57,4341.88,92
2026-08-10 02:42:00,4341.89,4341.99,4341.47,4341.82,82
2026-08-10 02:43:00,4341.69,4342.08,4341.31,4342.08,82
2026-08-10 02:44:00,4341.91,4342.41,4341.14,4342.35,91
2026-08-10 02:45:00,4342.28,4343.4,4341.41,4342.26,121
2026-08-10 02:46:00,4342.25,4342.99,4341.94,4342.26,115
2026-08-10 02:47:00,4342.22,4342.39,4341.27,4342.24,121
2026-08-10 02:48:00,4342.23,4343.0,4341.97,4342.45,111
2026-08-10 02:49:00,4342.42,4342.76,4341.79,4342.01,103
2026-08-10 02:50:00,4341.96,4342.39,4341.0,4341.1,96
2026-08-10 02:51:00,4341.22,4341.88,4340.88,4341.27,100
2026-08-10 02:52:00,4341.33,4342.44,4341.3,4341.97,82
2026-08-10 02:53:00,4342.21,4342.83,4340.93,4342.04,124
2026-08-10 02:54:00,4342.03,4342.19,4340.3,4340.3,148
2026-08-10 02:55:00,4340.32,4340.7,4339.52,4339.56,164
2026-08-10 02:56:00,4339.66,4339.83,4335.89,4335.92,173
2026-08-10 02:57:00,4335.91,4336.46,4334.64,4335.11,180
2026-08-10 02:58:00,4335.09,4335.35,4333.64,4333.8,167
2026-08-10 02:59:00,4333.81,4333.88,4332.17,4333.25,180
2026-08-10 03:00:00,4332.92,4336.55,4332.55,4336.23,214
2026-08-10 03:01:00,4336.34,4337.48,4335.32,4337.17,186
2026-08-10 03:02:00,4337.05,4339.03,4336.79,4338.71,184
2026-08-10 03:03:00,4338.71,4340.26,4338.67,4339.4,184
2026-08-10 03:04:00,4339.59,4340.94,4339.02,4340.52,158
2026-08-10 03:05:00,4340.54,4342.53,4339.55,4341.8,191
2026-08-10 03:06:00,4341.75,4341.75,4339.78,4340.79,184
2026-08-10 03:07:00,4340.79,4341.5,4340.22,4341.35,145
2026-08-10 03:08:00,4341.41,4343.51,4340.65,4342.03,171
2026-08-10 03:09:00,4342.16,4343.15,4341.51,4342.2,167
2026-08-10 03:10:00,4341.69,4343.67,4340.25,4343.46,177
2026-08-10 03:11:00,4343.31,4343.31,4339.93,4339.95,162
2026-08-10 03:12:00,4339.92,4343.62,4339.85,4343.62,173
2026-08-10 03:13:00,4343.61,4346.24,4343.26,4344.82,175
2026-08-10 03:14:00,4344.7,4347.16,4343.79,4344.44,179
2026-08-10 03:15:00,4344.48,4345.13,4342.03,4342.22,199
2026-08-10 03:16:00,4342.38,4342.38,4339.15,4340.24,177
2026-08-10 03:17:00,4340.29,4341.89,4339.65,4341.48,171
2026-08-10 03:18:00,4341.5,4342.79,4341.09,4341.88,151
