timestamp,open,high,low,close,volume
1786312800000,4342.785,4351.885,4332.015,4342.245,0.2538
1786313700000,4342.245,4343.385,4336.345,4342.855,0.1041
1786314600000,4342.635,4344.355,4338.525,4339.015,0.0742
1786315500000,4338.895,4342.815,4338.715,4340.075,0.0402
1786316400000,4339.935,4346.375,4339.595,4345.025,0.0802
1786317300000,4345.025,4347.635,4340.535,4344.975,0.0661
1786318200000,4344.975,4345.945,4339.695,4341.915,0.0706
1786319100000,4342.115,4343.325,4331.995,4332.465,0.0912
1786320000000,4332.385,4346.915,4332.275,4344.005,0.1875
1786320900000,4344.125,4345.325,4336.905,4337.245,0.161
1786321800000,4337.355,4339.025,4333.255,4334.235,0.1467
1786322700000,4334.105,4337.255,4330.255,4331.955,0.1481
1786323600000,4331.745,4340.615,4321.515,4322.635,0.3877
1786324500000,4322.515,4328.115,4315.735,4315.975,0.2467
1786325400000,4316.105,4320.565,4312.935,4316.835,0.2739
1786326300000,4316.735,4323.815,4315.515,4322.055,0.282
1786327200000,4322.055,4325.495,4318.215,4324.175,0.3492
1786328100000,4323.955,4331.685,4322.835,4330.535,0.2022
1786329000000,4330.645,4332.155,4322.895,4325.915,0.3426
1786329900000,4326.265,4327.065,4318.495,4319.405,0.2348
1786330800000,4319.535,4320.775,4317.415,4319.875,0.1792
1786331700000,4319.655,4327.935,4319.465,4326.985,0.1879
1786332600000,4326.755,4329.385,4324.505,4324.865,0.1394
1786333500000,4324.995,4327.695,4323.925,4326.375,0.0932
1786334400000,4326.525,4332.565,4322.625,4332.075,0.1534
1786335300000,4332.185,4337.365,4330.485,4334.475,0.1406
1786336200000,4334.355,4336.055,4329.365,4332.005,0.1218
1786337100000,4332.105,4339.435,4331.665,4339.115,0.151
1786338000000,4339.085,4339.555,4332.955,4334.695,0.124
1786338900000,4334.855,4336.375,4332.425,4333.555,0.1043
1786339800000,4333.415,4343.995,4331.265,4343.355,0.3413
1786340700000,4343.355,4351.815,4340.295,4347.035,0.2622
