Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BAFL.KA,BAFL.KA,BAFL.KA,BAFL.KA,BAFL.KA,BAFL.KA
Date,,,,,,
2026-03-02,108.97174072265625,116.18000030517578,120.80000305175781,116.18000030517578,117.0,6101079
2026-03-03,111.93568420410156,119.33999633789062,123.0,113.01000213623047,116.3499984741211,4494135
2026-03-04,111.62615966796875,119.01000213623047,121.0,116.0999984741211,119.0,2858609
2026-03-05,113.3144760131836,120.80999755859375,121.83000183105469,119.5,119.5,1007605
2026-03-06,109.92845153808594,117.19999694824219,121.3499984741211,116.51000213623047,120.5,391594
2026-03-09,102.4248046875,109.19999694824219,114.94999694824219,107.0,110.0,1904927
2026-03-10,111.52298736572266,118.9000015258789,119.5,113.0,114.98999786376953,1060202
2026-03-11,109.7971420288086,117.05999755859375,124.0,116.0199966430664,124.0,900467
2026-03-12,108.05253601074219,115.19999694824219,118.25,114.0999984741211,115.20999908447266,2828606
2026-03-13,106.65499114990234,113.70999908447266,116.4000015258789,113.0,116.0,743965
2026-03-16,101.1041030883789,106.37000274658203,110.51000213623047,105.75,110.0,4129733
2026-03-17,101.7789535522461,107.08000183105469,109.5,106.0,106.0,543439
2026-03-18,103.30925750732422,108.69000244140625,109.48999786376953,107.0999984741211,107.12000274658203,732315
2026-03-19,103.57538604736328,108.97000122070312,109.8499984741211,106.51000213623047,108.0,1672341
2026-03-20,103.57538604736328,108.97000122070312,108.97000122070312,108.97000122070312,108.97000122070312,0
2026-03-23,103.57538604736328,108.97000122070312,108.97000122070312,108.97000122070312,108.97000122070312,0
2026-03-24,103.10014343261719,108.47000122070312,112.0,107.22000122070312,111.87000274658203,1253390
2026-03-25,105.229248046875,110.70999908447266,113.0,108.0,109.0,1451905
2026-03-26,101.7789535522461,107.08000183105469,111.0,107.0,110.70999908447266,2988099
2026-03-27,102.55836486816406,107.9000015258789,109.75,107.12000274658203,109.75,1017132
2026-03-30,100.9520263671875,106.20999908447266,108.73999786376953,104.5,108.73999786376953,5001957
2026-03-31,102.6438980102539,107.98999786376953,109.5,106.20999908447266,107.0,2790114
2026-04-01,106.75003814697266,112.30999755859375,114.75,109.0,109.0,3570156
2026-04-02,106.77854919433594,112.33999633789062,113.25,108.5,111.0,2477020
2026-04-03,108.68904876708984,114.3499984741211,115.25,110.0,110.0,3444754
2026-04-06,107.21578979492188,112.80000305175781,115.5,112.0999984741211,112.0999984741211,9532627
2026-04-07,105.09617614746094,110.56999969482422,113.5,110.12000274658203,113.5,3228821
2026-04-08,115.60865020751953,121.62999725341797,121.62999725341797,113.2699966430664,115.0,4258004
2026-04-09,57.22927474975586,60.209999084472656,61.0,59.005001068115234,60.5,2992616
2026-04-10,57.29105758666992,60.275001525878906,61.75,60.060001373291016,60.5,1913978
2026-04-13,56.27878189086914,59.209999084472656,61.724998474121094,58.07500076293945,58.5,4720526
2026-04-14,57.66650390625,60.66999816894531,61.25,60.04999923706055,60.4900016784668,4260024
2026-04-15,58.925907135009766,61.994998931884766,62.25,61.25,61.25,6609286
2026-04-16,58.0086784362793,61.029998779296875,63.439998626708984,60.92499923706055,63.439998626708984,3116582
2026-04-17,59.5674934387207,62.66999816894531,63.2400016784668,60.755001068115234,61.375,3159214
2026-04-20,61.487491607666016,64.69000244140625,66.5,61.08000183105469,62.47999954223633,7116176
2026-04-21,62.105308532714844,65.33999633789062,66.55000305175781,64.5,66.5,3470998
2026-04-22,60.822147369384766,63.9900016784668,66.4000015258789,63.70000076293945,66.4000015258789,2239354
2026-04-23,58.23679733276367,61.27000045776367,64.77999877929688,60.5,64.48999786376953,12253962
2026-04-24,58.189273834228516,61.220001220703125,62.0,57.9900016784668,61.0,12853841
2026-04-27,57.70452117919922,60.709999084472656,62.189998626708984,60.400001525878906,61.5,7108516
2026-04-28,57.70452117919922,60.709999084472656,60.709999084472656,60.709999084472656,60.709999084472656,0
2026-04-29,57.70452117919922,60.709999084472656,60.709999084472656,60.709999084472656,60.709999084472656,0
2026-04-30,56.611454010009766,59.560001373291016,59.970001220703125,57.900001525878906,59.0,2358325
2026-05-04,56.982147216796875,59.95000076293945,61.20000076293945,59.5,60.75,5796506
2026-05-05,56.79691696166992,58.2599983215332,58.95000076293945,57.0099983215332,58.95000076293945,1457360
2026-05-06,58.94166946411133,60.459999084472656,61.0099983215332,58.529998779296875,59.0099983215332,7953897
2026-05-07,58.31774139404297,59.81999969482422,60.900001525878906,59.5,60.400001525878906,2856276
2026-05-08,57.5963249206543,59.08000183105469,59.95000076293945,58.79999923706055,59.29999923706055,1697134
2026-05-11,58.2495002746582,59.75,60.13999938964844,58.900001525878906,59.0,1185984
2026-05-12,57.92778396606445,59.41999816894531,60.130001068115234,59.20000076293945,60.130001068115234,1166403
2026-05-13,57.391597747802734,58.869998931884766,59.900001525878906,58.29999923706055,59.900001525878906,1018326
2026-05-14,55.93901824951172,57.380001068115234,59.7400016784668,56.900001525878906,58.880001068115234,2581702
2026-05-15,55.93901824951172,57.380001068115234,57.380001068115234,57.380001068115234,57.380001068115234,0
2026-05-18,54.98362731933594,56.400001525878906,58.20000076293945,56.02000045776367,57.79999923706055,1496718
2026-05-19,54.93488311767578,56.349998474121094,57.95000076293945,56.0099983215332,56.900001525878906,1608888
2026-05-20,55.139610290527344,56.560001373291016,57.650001525878906,56.25,56.869998931884766,2207544
2026-05-21,56.124244689941406,57.56999969482422,58.0,57.0,57.0,2315285
2026-05-22,55.744041442871094,57.18000030517578,57.900001525878906,57.0,57.900001525878906,756606
2026-05-25,57.83029556274414,59.31999969482422,59.900001525878906,57.79999923706055,58.0,2985961
2026-05-26,57.83029556274414,59.31999969482422,59.31999969482422,59.31999969482422,59.31999969482422,0
2026-05-27,57.83029556274414,59.31999969482422,59.31999969482422,59.31999969482422,59.31999969482422,0
2026-05-28,57.83029556274414,59.31999969482422,59.31999969482422,59.31999969482422,59.31999969482422,0
2026-05-29,57.93753433227539,59.43000030517578,59.849998474121094,58.7400016784668,59.5,3643460
2026-06-01,57.54758071899414,59.029998779296875,59.599998474121094,58.90999984741211,59.43000030517578,1583635
2026-06-02,57.5378303527832,59.02000045776367,59.29999923706055,59.0,59.0,1293094
2026-06-03,57.5378303527832,59.02000045776367,59.02000045776367,59.02000045776367,59.02000045776367,0
2026-06-04,56.982147216796875,58.45000076293945,58.90999984741211,58.349998474121094,58.439998626708984,1439431
2026-06-05,56.8846549987793,58.349998474121094,58.689998626708984,58.119998931884766,58.459999084472656,418517
2026-06-08,56.26072692871094,57.709999084472656,58.88999938964844,57.150001525878906,58.130001068115234,1370801
2026-06-09,56.767669677734375,58.22999954223633,58.70000076293945,57.849998474121094,57.849998474121094,1889915
2026-06-10,56.51420211791992,57.970001220703125,58.689998626708984,57.83000183105469,58.099998474121094,1645173
2026-06-11,56.397212982177734,57.849998474121094,58.29999923706055,57.4900016784668,57.5,1397563
2026-06-12,56.397212982177734,57.849998474121094,57.849998474121094,57.849998474121094,57.849998474121094,0
2026-06-15,58.629703521728516,60.13999938964844,61.849998474121094,59.02000045776367,61.849998474121094,1867934
2026-06-16,59.4486083984375,60.97999954223633,61.54999923706055,60.150001525878906,61.0,4613928
2026-06-17,59.702083587646484,61.2400016784668,62.04999923706055,61.0,61.099998474121094,3022085
2026-06-18,59.819068908691406,61.36000061035156,61.90999984741211,61.02000045776367,61.869998931884766,3000309
2026-06-19,59.56559371948242,61.099998474121094,61.79999923706055,60.5,61.59000015258789,5274876
2026-06-22,58.81493377685547,60.33000183105469,61.400001525878906,60.150001525878906,61.099998474121094,2243188
2026-06-23,57.654815673828125,59.13999938964844,61.0,57.65999984741211,61.0,2441105
2026-06-24,57.3136100769043,58.790000915527344,59.70000076293945,58.0,59.25,4139894
2026-06-25,57.3136100769043,58.790000915527344,58.790000915527344,58.790000915527344,58.790000915527344,0
2026-06-26,57.3136100769043,58.790000915527344,58.790000915527344,58.790000915527344,58.790000915527344,0
2026-06-29,55.471073150634766,56.900001525878906,59.4900016784668,54.15999984741211,58.470001220703125,4238120
2026-06-30,55.24684524536133,56.66999816894531,60.400001525878906,55.029998779296875,57.97999954223633,8583374
2026-07-01,59.858062744140625,61.400001525878906,62.0,57.20000076293945,57.20000076293945,9066848
2026-07-02,60.481990814208984,62.040000915527344,63.290000915527344,61.75,62.400001525878906,3679126
2026-07-03,60.09203338623047,61.63999938964844,62.400001525878906,60.900001525878906,62.400001525878906,3327833
2026-07-06,60.569732666015625,62.130001068115234,63.45000076293945,61.709999084472656,61.709999084472656,6786556
2026-07-07,60.17977523803711,61.72999954223633,63.400001525878906,61.400001525878906,63.0,11323618
2026-07-08,57.77180099487305,59.2599983215332,61.68000030517578,58.900001525878906,61.0,7259834
2026-07-09,57.284358978271484,58.7599983215332,59.25,57.81999969482422,59.02000045776367,7637862
2026-07-10,57.15762710571289,58.630001068115234,59.380001068115234,58.439998626708984,59.099998474121094,18753121
2026-07-13,56.640933990478516,58.099998474121094,58.79999923706055,57.02000045776367,57.849998474121094,2167096
2026-07-14,54.973876953125,56.38999938964844,57.79999923706055,56.0099983215332,57.54999923706055,4534448
2026-07-15,55.59780502319336,57.029998779296875,57.630001068115234,56.400001525878906,56.400001525878906,1658310
2026-07-16,55.59780502319336,57.029998779296875,57.029998779296875,57.029998779296875,57.029998779296875,0
2026-07-17,55.31509017944336,56.7400016784668,57.900001525878906,56.5,57.900001525878906,1897815
2026-07-20,55.7635383605957,57.20000076293945,57.5,56.029998779296875,56.47999954223633,883688
2026-07-21,55.41257858276367,56.84000015258789,58.0,56.70000076293945,57.790000915527344,1612930
2026-07-22,55.30533981323242,56.72999954223633,57.380001068115234,56.560001373291016,57.380001068115234,485886
2026-07-23,54.78865051269531,56.20000076293945,57.0,55.900001525878906,56.9900016784668,1364717
2026-07-24,54.10622787475586,55.5,56.400001525878906,54.90999984741211,56.400001525878906,2654624
2026-07-27,56.07550048828125,57.52000045776367,57.79999923706055,56.79999923706055,56.88999938964844,2756342
2026-07-28,55.685546875,57.119998931884766,58.0,57.0,57.72999954223633,2011127
2026-07-29,55.72454071044922,57.15999984741211,57.72999954223633,56.61000061035156,57.0,1048188
2026-07-30,56.24123001098633,57.689998626708984,58.650001525878906,56.29999923706055,57.0,15855930
2026-07-31,56.70917510986328,58.16999816894531,59.25,57.70000076293945,58.0,8262237
2026-08-03,57.19662094116211,58.66999816894531,59.20000076293945,58.5,58.939998626708984,3533573
